pos_txn_id,sku_id,txn_date,sales_qty,store_id,region,source_x,inventory_id,inventory_qty,warehouse,last_updated,source_y,finance_id,posting_date,revenue,cost,margin,source,record_insert_ts
20,SKU-pt581,2026-01-09,3,STORE-24,New Hampshire,pos_system,23.0,196.0,South Shannon,2026-01-15,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
20,SKU-pt581,2026-01-09,3,STORE-24,New Hampshire,pos_system,48.0,423.0,Watsonhaven,2026-01-12,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
20,SKU-pt581,2026-01-09,3,STORE-24,New Hampshire,pos_system,139.0,280.0,Port Valerieville,2026-01-12,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
20,SKU-pt581,2026-01-09,3,STORE-24,New Hampshire,pos_system,145.0,95.0,Leachhaven,2026-01-18,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
20,SKU-pt581,2026-01-09,3,STORE-24,New Hampshire,pos_system,165.0,443.0,Ronaldport,2026-01-14,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
65,SKU-pt581,2026-01-14,14,STORE-14,Alabama,pos_system,23.0,196.0,South Shannon,2026-01-15,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
65,SKU-pt581,2026-01-14,14,STORE-14,Alabama,pos_system,48.0,423.0,Watsonhaven,2026-01-12,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
65,SKU-pt581,2026-01-14,14,STORE-14,Alabama,pos_system,139.0,280.0,Port Valerieville,2026-01-12,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
65,SKU-pt581,2026-01-14,14,STORE-14,Alabama,pos_system,145.0,95.0,Leachhaven,2026-01-18,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
65,SKU-pt581,2026-01-14,14,STORE-14,Alabama,pos_system,165.0,443.0,Ronaldport,2026-01-14,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
88,SKU-pt581,2026-01-03,5,STORE-42,New Jersey,pos_system,23.0,196.0,South Shannon,2026-01-15,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
88,SKU-pt581,2026-01-03,5,STORE-42,New Jersey,pos_system,48.0,423.0,Watsonhaven,2026-01-12,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
88,SKU-pt581,2026-01-03,5,STORE-42,New Jersey,pos_system,139.0,280.0,Port Valerieville,2026-01-12,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
88,SKU-pt581,2026-01-03,5,STORE-42,New Jersey,pos_system,145.0,95.0,Leachhaven,2026-01-18,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
88,SKU-pt581,2026-01-03,5,STORE-42,New Jersey,pos_system,165.0,443.0,Ronaldport,2026-01-14,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
94,SKU-pt581,2025-12-20,15,STORE-5,Rhode Island,pos_system,23.0,196.0,South Shannon,2026-01-15,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
94,SKU-pt581,2025-12-20,15,STORE-5,Rhode Island,pos_system,48.0,423.0,Watsonhaven,2026-01-12,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
94,SKU-pt581,2025-12-20,15,STORE-5,Rhode Island,pos_system,139.0,280.0,Port Valerieville,2026-01-12,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
94,SKU-pt581,2025-12-20,15,STORE-5,Rhode Island,pos_system,145.0,95.0,Leachhaven,2026-01-18,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
94,SKU-pt581,2025-12-20,15,STORE-5,Rhode Island,pos_system,165.0,443.0,Ronaldport,2026-01-14,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
157,SKU-pt581,2026-01-15,4,STORE-31,Wisconsin,pos_system,23.0,196.0,South Shannon,2026-01-15,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
157,SKU-pt581,2026-01-15,4,STORE-31,Wisconsin,pos_system,48.0,423.0,Watsonhaven,2026-01-12,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
157,SKU-pt581,2026-01-15,4,STORE-31,Wisconsin,pos_system,139.0,280.0,Port Valerieville,2026-01-12,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
157,SKU-pt581,2026-01-15,4,STORE-31,Wisconsin,pos_system,145.0,95.0,Leachhaven,2026-01-18,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
157,SKU-pt581,2026-01-15,4,STORE-31,Wisconsin,pos_system,165.0,443.0,Ronaldport,2026-01-14,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
197,SKU-pt581,2026-01-06,7,STORE-25,Maine,pos_system,23.0,196.0,South Shannon,2026-01-15,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
197,SKU-pt581,2026-01-06,7,STORE-25,Maine,pos_system,48.0,423.0,Watsonhaven,2026-01-12,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
197,SKU-pt581,2026-01-06,7,STORE-25,Maine,pos_system,139.0,280.0,Port Valerieville,2026-01-12,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
197,SKU-pt581,2026-01-06,7,STORE-25,Maine,pos_system,145.0,95.0,Leachhaven,2026-01-18,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
197,SKU-pt581,2026-01-06,7,STORE-25,Maine,pos_system,165.0,443.0,Ronaldport,2026-01-14,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
269,SKU-pt581,2025-12-24,3,STORE-48,Arizona,pos_system,23.0,196.0,South Shannon,2026-01-15,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
269,SKU-pt581,2025-12-24,3,STORE-48,Arizona,pos_system,48.0,423.0,Watsonhaven,2026-01-12,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893
