pos_txn_id,sku_id,txn_date,sales_qty,store_id,region,source_x,inventory_id,inventory_qty,warehouse,last_updated,source_y,finance_id,posting_date,revenue,cost,margin,source,record_insert_ts,sales_inventory_ratio,margin_pct,signal_type,severity,signal_reason,ai_adjusted_severity,ai_explanation,signal_id,gold_insert_ts
20,SKU-pt581,2026-01-09,3,STORE-24,New Hampshire,pos_system,23.0,196.0,South Shannon,2026-01-15,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893,0.015306122448979591,0.33567313256346387,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,0c57a3a5e1f68ac12d0cce065076a2d3,2026-01-18 19:05:59.593706
65,SKU-pt581,2026-01-14,14,STORE-14,Alabama,pos_system,23.0,196.0,South Shannon,2026-01-15,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893,0.07142857142857142,0.33567313256346387,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,8a4c4bb103d558dcc5f219719a1c5492,2026-01-18 19:05:59.593706
88,SKU-pt581,2026-01-03,5,STORE-42,New Jersey,pos_system,23.0,196.0,South Shannon,2026-01-15,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893,0.025510204081632654,0.33567313256346387,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,c2a8ca3a4418cf8f4f963a1e7077e27b,2026-01-18 19:05:59.593706
94,SKU-pt581,2025-12-20,15,STORE-5,Rhode Island,pos_system,23.0,196.0,South Shannon,2026-01-15,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893,0.07653061224489796,0.33567313256346387,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,ec55f43c70dc405eb831bc84dea85612,2026-01-18 19:05:59.593706
157,SKU-pt581,2026-01-15,4,STORE-31,Wisconsin,pos_system,23.0,196.0,South Shannon,2026-01-15,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893,0.02040816326530612,0.33567313256346387,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,39134e4b53fda3500dc2f9cb651ed949,2026-01-18 19:05:59.593706
197,SKU-pt581,2026-01-06,7,STORE-25,Maine,pos_system,23.0,196.0,South Shannon,2026-01-15,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893,0.03571428571428571,0.33567313256346387,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,b876c1f8f73e960e4f574bf85af17ad7,2026-01-18 19:05:59.593706
269,SKU-pt581,2025-12-24,3,STORE-48,Arizona,pos_system,23.0,196.0,South Shannon,2026-01-15,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893,0.015306122448979591,0.33567313256346387,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,fc88efcf7370be7562e4f701995dadef,2026-01-18 19:05:59.593706
295,SKU-pt581,2026-01-11,3,STORE-24,Tennessee,pos_system,23.0,196.0,South Shannon,2026-01-15,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893,0.015306122448979591,0.33567313256346387,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,b39f888a20c9dc9d6a0e8181d856eb00,2026-01-18 19:05:59.593706
307,SKU-pt581,2026-01-07,6,STORE-41,Alabama,pos_system,23.0,196.0,South Shannon,2026-01-15,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893,0.030612244897959183,0.33567313256346387,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,87576d7cd4d792a8f2f3ecc7b3cced7f,2026-01-18 19:05:59.593706
320,SKU-pt581,2025-12-30,9,STORE-41,North Dakota,pos_system,23.0,196.0,South Shannon,2026-01-15,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893,0.04591836734693878,0.33567313256346387,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,dd93264d1eb7895be67974abf43927cb,2026-01-18 19:05:59.593706
329,SKU-pt581,2025-12-31,3,STORE-32,Iowa,pos_system,23.0,196.0,South Shannon,2026-01-15,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893,0.015306122448979591,0.33567313256346387,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,327dcf40107474ce32583e00c06e3f97,2026-01-18 19:05:59.593706
334,SKU-pt581,2026-01-05,6,STORE-16,Oregon,pos_system,23.0,196.0,South Shannon,2026-01-15,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893,0.030612244897959183,0.33567313256346387,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,612cff380d6f1c74edafd22cc2299fc5,2026-01-18 19:05:59.593706
415,SKU-pt581,2026-01-15,1,STORE-21,Montana,pos_system,23.0,196.0,South Shannon,2026-01-15,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893,0.00510204081632653,0.33567313256346387,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,697545ea01896e746fd3a9a34862a16e,2026-01-18 19:05:59.593706
487,SKU-pt581,2026-01-07,11,STORE-18,Delaware,pos_system,23.0,196.0,South Shannon,2026-01-15,inventory_system,1,2026-06-01,397.47,264.05,133.42,finance_system,2026-01-19 00:35:43.178893,0.05612244897959184,0.33567313256346387,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,e111e70a45c76de100707e166a0a788f,2026-01-18 19:05:59.593706
42,SKU-Mr270,2026-01-04,14,STORE-10,Alabama,pos_system,197.0,91.0,Jamesview,2026-01-18,inventory_system,2,2026-04-28,1003.82,665.82,338.0,finance_system,2026-01-19 00:35:43.178893,0.15384615384615385,0.336713753461776,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,479256f2aaf189ae9b97ce98dad65a0a,2026-01-18 19:05:59.593706
87,SKU-Mr270,2026-01-03,14,STORE-35,Rhode Island,pos_system,197.0,91.0,Jamesview,2026-01-18,inventory_system,2,2026-04-28,1003.82,665.82,338.0,finance_system,2026-01-19 00:35:43.178893,0.15384615384615385,0.336713753461776,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,5efdf76caf835b96e5343ef7332a66e2,2026-01-18 19:05:59.593706
146,SKU-Mr270,2026-01-09,7,STORE-5,Florida,pos_system,197.0,91.0,Jamesview,2026-01-18,inventory_system,2,2026-04-28,1003.82,665.82,338.0,finance_system,2026-01-19 00:35:43.178893,0.07692307692307693,0.336713753461776,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,806c34b6daeb59a3d268afe9e6a6c4f9,2026-01-18 19:05:59.593706
170,SKU-Mr270,2025-12-28,4,STORE-38,Washington,pos_system,197.0,91.0,Jamesview,2026-01-18,inventory_system,2,2026-04-28,1003.82,665.82,338.0,finance_system,2026-01-19 00:35:43.178893,0.04395604395604396,0.336713753461776,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,cff2a4856c0fedd09b7a86d91135ac08,2026-01-18 19:05:59.593706
219,SKU-Mr270,2026-01-17,3,STORE-11,Wisconsin,pos_system,197.0,91.0,Jamesview,2026-01-18,inventory_system,2,2026-04-28,1003.82,665.82,338.0,finance_system,2026-01-19 00:35:43.178893,0.03296703296703297,0.336713753461776,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,61e8509ffa70e3f4b5d19c821c118d6c,2026-01-18 19:05:59.593706
282,SKU-Mr270,2026-01-07,15,STORE-30,South Dakota,pos_system,197.0,91.0,Jamesview,2026-01-18,inventory_system,2,2026-04-28,1003.82,665.82,338.0,finance_system,2026-01-19 00:35:43.178893,0.16483516483516483,0.336713753461776,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,b25440580d6d37e350876958a92c3241,2026-01-18 19:05:59.593706
358,SKU-Mr270,2025-12-23,7,STORE-12,Maine,pos_system,197.0,91.0,Jamesview,2026-01-18,inventory_system,2,2026-04-28,1003.82,665.82,338.0,finance_system,2026-01-19 00:35:43.178893,0.07692307692307693,0.336713753461776,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,05f39b4d0bcbce097e2521504bf007bc,2026-01-18 19:05:59.593706
375,SKU-Mr270,2026-01-02,5,STORE-10,New Mexico,pos_system,197.0,91.0,Jamesview,2026-01-18,inventory_system,2,2026-04-28,1003.82,665.82,338.0,finance_system,2026-01-19 00:35:43.178893,0.054945054945054944,0.336713753461776,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,0c3edb74a67eb1690615648adb06887e,2026-01-18 19:05:59.593706
414,SKU-Mr270,2025-12-26,13,STORE-48,Iowa,pos_system,197.0,91.0,Jamesview,2026-01-18,inventory_system,2,2026-04-28,1003.82,665.82,338.0,finance_system,2026-01-19 00:35:43.178893,0.14285714285714285,0.336713753461776,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,2327d036bceb144bd278f10464465a10,2026-01-18 19:05:59.593706
439,SKU-Mr270,2026-01-04,13,STORE-8,Oregon,pos_system,197.0,91.0,Jamesview,2026-01-18,inventory_system,2,2026-04-28,1003.82,665.82,338.0,finance_system,2026-01-19 00:35:43.178893,0.14285714285714285,0.336713753461776,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,f42782e6d2ea8fc2c630ca2578cb352a,2026-01-18 19:05:59.593706
442,SKU-Mr270,2026-01-11,8,STORE-4,Wyoming,pos_system,197.0,91.0,Jamesview,2026-01-18,inventory_system,2,2026-04-28,1003.82,665.82,338.0,finance_system,2026-01-19 00:35:43.178893,0.08791208791208792,0.336713753461776,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,ca553e399e6485d6f9f7cd0d54a78028,2026-01-18 19:05:59.593706
50,SKU-un952,2025-12-30,3,STORE-17,Maryland,pos_system,9.0,476.0,Josephburgh,2026-01-15,inventory_system,3,2026-04-02,2272.83,1483.0,789.83,finance_system,2026-01-19 00:35:43.178893,0.0063025210084033615,0.34750949257093583,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,60f5d465aa6122fdeee2c34fecef44e4,2026-01-18 19:05:59.593706
69,SKU-un952,2026-01-05,14,STORE-28,Oregon,pos_system,9.0,476.0,Josephburgh,2026-01-15,inventory_system,3,2026-04-02,2272.83,1483.0,789.83,finance_system,2026-01-19 00:35:43.178893,0.029411764705882353,0.34750949257093583,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,e238b953c9e0d8076069428cf6ef80e9,2026-01-18 19:05:59.593706
149,SKU-un952,2026-01-01,4,STORE-46,Florida,pos_system,9.0,476.0,Josephburgh,2026-01-15,inventory_system,3,2026-04-02,2272.83,1483.0,789.83,finance_system,2026-01-19 00:35:43.178893,0.008403361344537815,0.34750949257093583,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,941e67d2bfde1b3a8dd84f119d05ab33,2026-01-18 19:05:59.593706
214,SKU-un952,2025-12-21,10,STORE-40,New Hampshire,pos_system,9.0,476.0,Josephburgh,2026-01-15,inventory_system,3,2026-04-02,2272.83,1483.0,789.83,finance_system,2026-01-19 00:35:43.178893,0.02100840336134454,0.34750949257093583,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,e0055b4f054805c4c7af7748ef41a25f,2026-01-18 19:05:59.593706
225,SKU-un952,2026-01-07,7,STORE-25,Mississippi,pos_system,9.0,476.0,Josephburgh,2026-01-15,inventory_system,3,2026-04-02,2272.83,1483.0,789.83,finance_system,2026-01-19 00:35:43.178893,0.014705882352941176,0.34750949257093583,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,9170607d9ca9525d3a540357dd175ffa,2026-01-18 19:05:59.593706
229,SKU-un952,2025-12-27,8,STORE-36,Illinois,pos_system,9.0,476.0,Josephburgh,2026-01-15,inventory_system,3,2026-04-02,2272.83,1483.0,789.83,finance_system,2026-01-19 00:35:43.178893,0.01680672268907563,0.34750949257093583,NORMAL,1,Normal operating conditions,1,Rule-based severity applied,acc8bc39f9a8a3c236aa083478d10875,2026-01-18 19:05:59.593706
