finance_id,sku_id,posting_date,revenue,cost,margin,source
1,SKU-DX100,2026-01-30,640.97,508.32,132.65,finance_system
2,SKU-SB850,2026-07-08,305.67,205.34,100.33,finance_system
3,SKU-eJ664,2026-04-21,1210.63,789.63,421.0,finance_system
4,SKU-AJ723,2026-08-23,1851.99,1158.87,693.12,finance_system
5,SKU-Gq397,2026-05-28,2295.37,1837.42,457.95,finance_system
6,SKU-ir862,2026-09-03,3337.19,2420.8,916.39,finance_system
7,SKU-fj578,2026-05-29,1456.99,1169.89,287.1,finance_system
8,SKU-gw737,2026-03-02,1965.99,1464.46,501.53,finance_system
9,SKU-Vj640,2026-09-22,1979.74,1666.43,313.31,finance_system
10,SKU-aC385,2026-04-03,956.68,763.91,192.77,finance_system
11,SKU-JZ195,2026-12-23,817.39,675.54,141.85,finance_system
12,SKU-rT045,2026-05-01,376.7,244.03,132.67,finance_system
13,SKU-Gq397,2026-02-12,494.23,318.52,175.71,finance_system
14,SKU-OK386,2026-07-29,803.72,650.64,153.08,finance_system
15,SKU-bH250,2026-12-07,1966.0,1332.63,633.37,finance_system
16,SKU-sS478,2026-02-14,2859.51,1946.83,912.68,finance_system
17,SKU-Os099,2026-06-22,144.67,107.42,37.25,finance_system
18,SKU-SB850,2026-02-27,1291.51,826.8,464.71,finance_system
19,SKU-ms236,2026-04-07,1473.83,1028.01,445.82,finance_system
20,SKU-Tt192,2026-02-17,2448.02,2099.31,348.71,finance_system
21,SKU-zo215,2026-06-11,4241.89,3213.44,1028.45,finance_system
22,SKU-Cs979,2026-12-08,3419.8,2247.37,1172.43,finance_system
23,SKU-bc680,2026-06-03,126.84,112.67,14.17,finance_system
24,SKU-Rq512,2026-11-10,101.52,68.29,33.23,finance_system
25,SKU-Lw191,2026-11-11,4896.61,3832.62,1063.99,finance_system
26,SKU-Cw787,2026-04-10,4667.89,2915.4,1752.49,finance_system
27,SKU-bc680,2026-05-30,1276.92,824.86,452.06,finance_system
28,SKU-Ii336,2026-09-01,504.98,338.94,166.04,finance_system
29,SKU-fj578,2026-01-13,317.75,241.21,76.54,finance_system
30,SKU-Ii336,2026-08-22,4696.88,3800.74,896.14,finance_system
31,SKU-EZ203,2026-05-30,3788.83,3060.12,728.71,finance_system
32,SKU-kJ180,2026-12-10,2659.41,1597.44,1061.97,finance_system
33,SKU-EZ203,2026-10-02,2290.26,1586.96,703.3,finance_system
34,SKU-cm125,2026-06-06,4440.15,3693.27,746.88,finance_system
